Record,strat_depth,SH20_age,Group,Guano_Zone,Guano_Sum,cln_P2O5_TiO2,cln_CaO_TiO2,cln_Cu_TiO2,cln_Zn_TiO2,cln_Sr_TiO2,cln_P_Ti,cln_Ca_Ti,cln_Cu_Ti,cln_Zn_Ti,cln_Sr_Ti,cln_P_Ti_CS,cln_Ca_Ti_CS,cln_Cu_Ti_CS,cln_Zn_Ti_CS,cln_Sr_Ti_CS,Plot_order
,cm,cal a BP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARD,163,3936,Unit 8,ARD GZ 0,Non Guano,-1.870425788,-0.236804672,-1.457352635,-1.22522489,-0.599105688,-1.870425788,-0.236804672,-1.457352635,-1.22522489,-0.599105688,-1.448681916,-0.325602765,-2.625503604,-1.789474022,-1.424763375,2
ARD,165,3974,Unit 8,ARD GZ 0,Non Guano,-2.173779713,-0.324593012,-1.53464431,-1.293736877,-0.643052768,-2.173779713,-0.324593012,-1.53464431,-1.293736877,-0.643052768,-1.23689782,-0.476027085,-2.243074481,-1.707134901,-1.438959712,2
ARD,167,4012,Unit 8,ARD GZ 0,Non Guano,-1.453545173,-0.599794423,-1.327004945,-1.155777432,-0.89328928,-1.453545173,-0.599794423,-1.327004945,-1.155777432,-0.89328928,-1.142034641,-0.384412778,-2.306144294,-1.825761042,-1.429987855,2
ARD,169,4051,Unit 8,ARD GZ 0,Non Guano,-2.30152326,-0.397132356,-1.407236635,-1.277249148,-0.722716616,-2.30152326,-0.397132356,-1.407236635,-1.277249148,-0.722716616,-0.474821332,-0.337560512,-1.844056031,-1.798640977,-1.382569958,2
ARD,171,4089,Unit 8,ARD GZ 0,Non Guano,-2.272997476,-0.367336054,-1.489988227,-1.285320879,-0.686837918,-2.272997476,-0.367336054,-1.489988227,-1.285320879,-0.686837918,-1.552231959,-0.451748615,-1.855106243,-1.731310612,-1.372713634,2
ARD,173,4127,Unit 8,ARD GZ 0,Non Guano,-2.216758046,-0.357759515,-1.399866811,-1.244152312,-0.679762233,-2.216758046,-0.357759515,-1.399866811,-1.244152312,-0.679762233,-0.887145602,0.222165873,0.20475584,0.137959275,-0.088061153,2
ARD,175,4165,Unit 8,ARD GZ 0,Non Guano,-0.049248033,-0.037939929,-0.271888396,-0.229364898,-0.135787165,-0.049248033,-0.037939929,-0.271888396,-0.229364898,-0.135787165,0.783810801,1.117615195,1.667808921,1.662173572,1.987509585,2
ARD,177,4204,Unit 8,ARD GZ 0,Non Guano,1.391588373,0.623875104,1.004178058,1.088786757,0.896072979,1.391588373,0.623875104,1.004178058,1.088786757,0.896072979,1.065593151,1.095875208,1.795176565,1.775964192,1.750788322,2
ARD,179,4242,Unit 7,ARD GZ 3,Guano,1.730036579,0.756906084,1.63818111,1.554913445,1.2064841,1.730036579,0.756906084,1.63818111,1.554913445,1.2064841,1.009258121,0.36452821,1.521704418,1.150062001,0.745273065,5
ARD,181,4280,Unit 7,ARD GZ 3,Guano,,,,,,,,,,,0.94455781,0.31312621,1.401282867,1.000253008,-0.046560994,5
ARD,183,4319,Unit 7,ARD GZ 3,Guano,,,,,,,,,,,-0.21383126,0.202201186,0.521847573,0.395164194,0.20328648,5
ARD,185,4357,Unit 7,ARD GZ 3,Guano,,,,,,,,,,,1.69069611,0.43100826,1.533697311,1.250234105,1.034517403,5
