"Core","depth_cm","SH20_age","param","value"
"ARD1A",12.4,1192.26,"Mo_coh",3997
"ARD1A",12.4,1192.26,"TS_sum",17199
"ARD1A",12.4,1192.26,"inc_coh",3.302977233
"ARD1A",12.4,1192.26,"coh_inc",0.302757158
"ARD1A",12.4,1192.26,"cps_sum",50444
"ARD1A",12.6,1224.63,"kcps",13446.62305
"ARD1A",12.6,1224.63,"MSE",1.25
"ARD1A",12.6,1224.63,"Mg",6
"ARD1A",12.6,1224.63,"Al",0
"ARD1A",12.6,1224.63,"Si",49
"ARD1A",12.6,1224.63,"P",12
"ARD1A",12.6,1224.63,"S",0
"ARD1A",12.6,1224.63,"Cl",7
"ARD1A",12.6,1224.63,"Ar",38
"ARD1A",12.6,1224.63,"K",82
"ARD1A",12.6,1224.63,"Ca",1916
"ARD1A",12.6,1224.63,"Sc",0
"ARD1A",12.6,1224.63,"Ti",1064
"ARD1A",12.6,1224.63,"V",57
"ARD1A",12.6,1224.63,"Cr",27
"ARD1A",12.6,1224.63,"Mn",376
"ARD1A",12.6,1224.63,"Fe",31396
"ARD1A",12.6,1224.63,"Co",180
"ARD1A",12.6,1224.63,"Ni",0
"ARD1A",12.6,1224.63,"Cu",63
"ARD1A",12.6,1224.63,"Zn",113
"ARD1A",12.6,1224.63,"Ga",0
"ARD1A",12.6,1224.63,"Ge",0
"ARD1A",12.6,1224.63,"As",17
"ARD1A",12.6,1224.63,"Se",34
"ARD1A",12.6,1224.63,"Br",0
"ARD1A",12.6,1224.63,"Rb",81
"ARD1A",12.6,1224.63,"Sr",1626
"ARD1A",12.6,1224.63,"Zr",818
"ARD1A",12.6,1224.63,"Nb",8
"ARD1A",12.6,1224.63,"Mo",30
"ARD1A",12.6,1224.63,"In",0
"ARD1A",12.6,1224.63,"Sn",25
"ARD1A",12.6,1224.63,"Sb",0
"ARD1A",12.6,1224.63,"Te",21
"ARD1A",12.6,1224.63,"I",36
"ARD1A",12.6,1224.63,"Cs",0
"ARD1A",12.6,1224.63,"Ba",11
"ARD1A",12.6,1224.63,"La",6
"ARD1A",12.6,1224.63,"Ce",0
"ARD1A",12.6,1224.63,"Pr",0
"ARD1A",12.6,1224.63,"Nd",27
"ARD1A",12.6,1224.63,"Sm",25
"ARD1A",12.6,1224.63,"Eu",58
"ARD1A",12.6,1224.63,"Gd",74
"ARD1A",12.6,1224.63,"Tb",213
"ARD1A",12.6,1224.63,"Dy",48
"ARD1A",12.6,1224.63,"Ho",44
"ARD1A",12.6,1224.63,"Ta",25
"ARD1A",12.6,1224.63,"W",37
"ARD1A",12.6,1224.63,"Os",0
"ARD1A",12.6,1224.63,"Ir",26
"ARD1A",12.6,1224.63,"Pt",0
"ARD1A",12.6,1224.63,"Au",0
"ARD1A",12.6,1224.63,"Hg",68
"ARD1A",12.6,1224.63,"Pb",0
"ARD1A",12.6,1224.63,"Bi",0
"ARD1A",12.6,1224.63,"Th",24
"ARD1A",12.6,1224.63,"U",0
"ARD1A",12.6,1224.63,"Mo_inc",13720
"ARD1A",12.6,1224.63,"Mo_coh",4157
"ARD1A",12.6,1224.63,"TS_sum",17877
"ARD1A",12.6,1224.63,"inc_coh",3.30045706
"ARD1A",12.6,1224.63,"coh_inc",0.302988338
"ARD1A",12.6,1224.63,"cps_sum",56645
"ARD1A",12.8,1257,"kcps",11675.71191
"ARD1A",12.8,1257,"MSE",1.12
"ARD1A",12.8,1257,"Mg",6
"ARD1A",12.8,1257,"Al",0
"ARD1A",12.8,1257,"Si",21
"ARD1A",12.8,1257,"P",10
"ARD1A",12.8,1257,"S",0
"ARD1A",12.8,1257,"Cl",0
"ARD1A",12.8,1257,"Ar",38
"ARD1A",12.8,1257,"K",65
"ARD1A",12.8,1257,"Ca",1511
"ARD1A",12.8,1257,"Sc",0
"ARD1A",12.8,1257,"Ti",812
"ARD1A",12.8,1257,"V",56
"ARD1A",12.8,1257,"Cr",13
"ARD1A",12.8,1257,"Mn",324
"ARD1A",12.8,1257,"Fe",24989
"ARD1A",12.8,1257,"Co",154
"ARD1A",12.8,1257,"Ni",0
"ARD1A",12.8,1257,"Cu",102
"ARD1A",12.8,1257,"Zn",190
"ARD1A",12.8,1257,"Ga",0
"ARD1A",12.8,1257,"Ge",11
"ARD1A",12.8,1257,"As",79
"ARD1A",12.8,1257,"Se",68
"ARD1A",12.8,1257,"Br",118
"ARD1A",12.8,1257,"Rb",51
"ARD1A",12.8,1257,"Sr",1362
"ARD1A",12.8,1257,"Zr",692
"ARD1A",12.8,1257,"Nb",0
"ARD1A",12.8,1257,"Mo",9
"ARD1A",12.8,1257,"In",13
"ARD1A",12.8,1257,"Sn",0
"ARD1A",12.8,1257,"Sb",15
"ARD1A",12.8,1257,"Te",41
"ARD1A",12.8,1257,"I",0
